COMPRAS ;DESCRIPCION;ME ANOTO;LINK
 juegos de sabanas;100% algodón ;;
mantas;100% algodón;;
libros, cuentos correspondientes a su edad;libros y cuentos para niños de 0 a 12 meses ;;
juguetes para distintas edades de desarrolllo ;juguetes para niños de 0 a 12 meses ;;
Toallas para el baño ;;;
jabon liquido neutro ;marca mustela recomendada por pediatra;;https://www.babytuto.com/productos/,pack-hora-del-bano-para-tu-bebe-mustela,216650?channable=04fa0569640032313636353066&lp&h=120&c=CL_00&p=1200&a=1197307&k=216650&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNnH0Kg2JrB8FK8cKYqdrfwVrLDClJJs2KQNL1SAl4llK8kEk0r1w9oaAkxeEALw_wcB
crema hidratante cuerpo ;marca mustela recomendada por pediatra;;https://www.babytuto.com/productos/,pack-hora-del-bano-para-tu-bebe-mustela,216650?channable=04fa0569640032313636353066&lp&h=120&c=CL_00&p=1200&a=1197307&k=216650&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNnH0Kg2JrB8FK8cKYqdrfwVrLDClJJs2KQNL1SAl4llK8kEk0r1w9oaAkxeEALw_wcB
shampoo ;marca mustela recomendada por pediatra;;https://www.babytuto.com/productos/,pack-hora-del-bano-para-tu-bebe-mustela,216650?channable=04fa0569640032313636353066&lp&h=120&c=CL_00&p=1200&a=1197307&k=216650&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNnH0Kg2JrB8FK8cKYqdrfwVrLDClJJs2KQNL1SAl4llK8kEk0r1w9oaAkxeEALw_wcB
crema antidermatitis ;Marca mustela o conocida por ustedes recomedable ;;
suero fisiologico nariz ;Sterimar ;;https://www.babytuto.com/productos/higiene-salud-articulos-medicos-implementos-medicos,solucion-nasal-hypertonic-100-ml-sterimar,241225?bt_f=product::other-models&channable=04fa05696400323136363438ed&lp=&h=120&c=CL_00&p=1200&a=1200011&k=216648&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNlMsCkQl2bqs9UUxwF5KURpXuUbmv1fzKckOO3rw2MDrJrij5hObrgaArvrEALw_wcB
pañales ;;;
baberos-trapitos- pañitos muselinas ;;;
chupete ;SOLO MARCA CURAPROX talla 0 por recomendación medica ;;
bodys manga larga porque nace en invierno ;100% algodón pueden ser gerber economicos y duraderos;;
pijamas (toda ropa preferiblemente con tallas de 0-3 meses);algodón preferiblemente;;
